rpm,fuel,power,torque
1040.189,245.5981,27.2057,246.4066
1030.263,245.6974,26.9079,246.0592
1156.992,244.4301,30.7098,250.4947
1111.458,244.8854,29.3437,248.901
1038.587,245.6141,27.1576,246.3505
1154.3,244.457,30.629,250.4005
1163.089,244.3691,30.8927,250.7081
1049.016,245.5098,27.4705,246.7156
1005.162,245.9484,26.1549,245.1807
1073.798,245.262,28.2139,247.5829
1098.578,245.0142,28.9573,248.4502
1131.274,244.6873,29.9382,249.5946
1096.6,245.034,28.898,248.381
1069.22,245.3078,28.0766,247.4227
1178.805,244.212,31.3642,251.2582
1146.659,244.5334,30.3998,250.1331
1178.467,244.2153,31.354,251.2463
1090.9,245.091,28.727,248.1815
1131.449,244.6855,29.9435,249.6007
1094.398,245.056,28.8319,248.3039
1150.724,244.4928,30.5217,250.2753
1196.811,244.0319,31.9043,251.8884
1091.181,245.0882,28.7354,248.1913
1005.789,245.9421,26.1737,245.2026
1071.416,245.2858,28.1425,247.4996
1035.605,245.6439,27.0681,246.2462
1076.662,245.2334,28.2999,247.6832
1032.573,245.6743,26.9772,246.1401
1068.863,245.3114,28.0659,247.4102
1018.869,245.8113,26.5661,245.6604
1062.226,245.3777,27.8668,247.1779
1078.697,245.213,28.3609,247.7544
1160.796,244.392,30.8239,250.6279
1057.489,245.4251,27.7247,247.0121
1177.947,244.2205,31.3384,251.2281
1095.782,245.0422,28.8735,248.3524
1111.856,244.8814,29.3557,248.915
1072.777,245.2722,28.1833,247.5472
1175.426,244.2457,31.2628,251.1399
1151.828,244.4817,30.5548,250.314
1179.165,244.2083,31.3749,251.2708
1021.933,245.7807,26.658,245.7677
1049.047,245.5095,27.4714,246.7166
1069.993,245.3001,28.0998,247.4498
1078.205,245.218,28.3461,247.7372
1173.3,244.267,31.199,251.0655
1055.117,245.4488,27.6535,246.9291
1063.916,245.3608,27.9175,247.2371
1019.655,245.8034,26.5896,245.6879
1039.732,245.6027,27.192,246.3906
1099.82,245.0018,28.9946,248.4937
1133.633,244.6637,30.009,249.6772
1012.402,245.876,26.3721,245.4341
1180.715,244.1928,31.4214,251.325
1136.871,244.6313,30.1061,249.7905
1095.01,245.0499,28.8503,248.3254
1118.163,244.8184,29.5449,249.1357
1195.937,244.0406,31.8781,251.8578
1194.702,244.053,31.8411,251.8146
1094.491,245.0551,28.8347,248.3072
1114.429,244.8557,29.4329,249.005
1025.333,245.7467,26.76,245.8867
1015.693,245.8431,26.4708,245.5493
1053.388,245.4661,27.6016,246.8686
1194.488,244.0551,31.8346,251.8071
1137.453,244.6255,30.1236,249.8109
1077.908,245.2209,28.3372,247.7268
1118.618,244.8138,29.5585,249.1516
1034.239,245.6576,27.0272,246.1984
1129.552,244.7045,29.8866,249.5343
1069.467,245.3053,28.084,247.4313
1006.256,245.9374,26.1877,245.219
1048.616,245.5138,27.4585,246.7016
1046.609,245.5339,27.3983,246.6313
1112.321,244.8768,29.3696,248.9312
1078.211,245.2179,28.3463,247.7374
1090.039,245.0996,28.7012,248.1514
1182.197,244.178,31.4659,251.3769
1097.977,245.0202,28.9393,248.4292
1061.799,245.382,27.854,247.163
1013.73,245.8627,26.4119,245.4805
1191.36,244.0864,31.7408,251.6976
1087.715,245.1228,28.6314,248.07
1055.084,245.4492,27.6525,246.9279
1122.994,244.7701,29.6898,249.3048
1156.89,244.4311,30.7067,250.4912
1165.157,244.3484,30.9547,250.7805
1107.847,244.9215,29.2354,248.7746
1149.275,244.5072,30.4783,250.2246
1125.496,244.745,29.7649,249.3924
1156.305,244.4369,30.6891,250.4707
1178.394,244.2161,31.3518,251.2438
1060.629,245.3937,27.8189,247.122
1169.672,244.3033,31.0902,250.9385
1109.261,244.9074,29.2778,248.8241
1118.64,244.8136,29.5592,249.1524
1085.858,245.1414,28.5757,248.005
1165.667,244.3433,30.97,250.7983
1118.11,244.8189,29.5433,249.1338
1198.832,244.0117,31.965,251.9591
1086.039,245.1396,28.5812,248.0114
1107.472,244.9253,29.2242,248.7615
1006.512,245.9349,26.1954,245.2279
1189.228,244.1077,31.6768,251.623
1185.683,244.1432,31.5705,251.4989
1150.483,244.4952,30.5145,250.2669
1105.956,244.9404,29.1787,248.7085
1009.655,245.9034,26.2896,245.3379
1011.464,245.8854,26.3439,245.4012
1036.734,245.6327,27.102,246.2857
1164.091,244.3591,30.9227,250.7432
1051.76,245.4824,27.5528,246.8116
1130.644,244.6936,29.9193,249.5725
1129.047,244.7095,29.8714,249.5166
1047.33,245.5267,27.4199,246.6566
1004.553,245.9545,26.1366,245.1594
1181.225,244.1877,31.4367,251.3429
1172.058,244.2794,31.1617,251.022
1164.447,244.3555,30.9334,250.7556
1000.669,245.9933,26.0201,245.0234
1114.981,244.8502,29.4494,249.0243
1176.186,244.2381,31.2856,251.1665
1151.356,244.4864,30.5407,250.2975
1182.175,244.1782,31.4652,251.3761
1182.97,244.1703,31.4891,251.404
1128.847,244.7115,29.8654,249.5096
1023.026,245.7697,26.6908,245.8059
1172.733,244.2727,31.182,251.0457
1152.264,244.4774,30.5679,250.3292
1146.992,244.5301,30.4098,250.1447
1124.899,244.751,29.747,249.3715
1117.085,244.8291,29.5125,249.098
1195.791,244.0421,31.8737,251.8527
1069.034,245.3097,28.071,247.4162
1174.091,244.2591,31.2227,251.0932
1136.175,244.6382,30.0852,249.7661
1136.047,244.6395,30.0814,249.7616
1149.445,244.5055,30.4833,250.2306
1108.665,244.9134,29.2599,248.8033
1151.159,244.4884,30.5348,250.2906
1056.779,245.4322,27.7034,246.9873
1107.711,244.9229,29.2313,248.7699
1072.792,245.2721,28.1838,247.5477
1169.538,244.3046,31.0861,250.9338
1250.407,243.748,33.5122,253.5122
1285.48,243.5726,34.5644,254.5644
1224.035,243.8798,32.721,252.721
1342.822,243.2859,36.2847,256.2847
1385.092,243.0745,37.5528,257.5528
1200.368,243.9982,32.011,252.011
1292.155,243.5392,34.7646,254.7646
1331.725,243.3414,35.9517,255.9518
1338.257,243.3087,36.1477,256.1477
1256.473,243.7176,33.6942,253.6942
1209.587,243.9521,32.2876,252.2876
1351.49,243.2425,36.5447,256.5447
1258.692,243.7065,33.7608,253.7608
1215.33,243.9233,32.4599,252.4599
1207.794,243.961,32.2338,252.2338
1233.025,243.8349,32.9907,252.9907
1322.42,243.3879,35.6726,255.6726
1242.418,243.7879,33.2725,253.2725
1314.178,243.4291,35.4253,255.4253
1234.939,243.8253,33.0482,253.0482
1217.786,243.9111,32.5336,252.5336
1230.889,243.8456,32.9267,252.9267
1294.196,243.529,34.8259,254.8259
1302.403,243.488,35.0721,255.0721
1262.933,243.6853,33.888,253.888
1264.243,243.6788,33.9273,253.9273
1316.019,243.4199,35.4806,255.4806
1248.801,243.756,33.464,253.464
1214.531,243.9273,32.4359,252.4359
1207.154,243.9642,32.2146,252.2146
1367.849,243.1608,37.0355,257.0355
1362.676,243.1866,36.8803,256.8803
1245.027,243.7749,33.3508,253.3508
1385.709,243.0715,37.5713,257.5713
1321.247,243.3938,35.6374,255.6374
1283.747,243.5813,34.5124,254.5124
1228.861,243.8557,32.8658,252.8658
1303.228,243.4839,35.0968,255.0968
1242.451,243.7877,33.2735,253.2735
1215.986,243.9201,32.4796,252.4796
1231.484,243.8426,32.9445,252.9445
1206.407,243.968,32.1922,252.1922
1312.509,243.4375,35.3753,255.3753
1349.851,243.2507,36.4955,256.4955
1301.361,243.4932,35.0408,255.0408
1356.131,243.2193,36.6839,256.6839
1322.427,243.3879,35.6728,255.6728
1294.587,243.5271,34.8376,254.8376
1285.085,243.5746,34.5525,254.5525
1327.519,243.3624,35.8256,255.8256
1252.304,243.7385,33.5691,253.5691
1271.065,243.6447,34.132,254.132
1327.599,243.362,35.828,255.828
1267.927,243.6604,34.0378,254.0378
1291.863,243.5407,34.7559,254.7559
1331.729,243.3414,35.9519,255.9519
1215.87,243.9206,32.4761,252.4761
1222.373,243.8881,32.6712,252.6712
1251.8,243.741,33.554,253.554
1390.852,243.0457,37.7256,257.7256
1339.645,243.3018,36.1893,256.1893
1281.358,243.5932,34.4407,254.4407
1268.826,243.6559,34.0648,254.0648
1215.663,243.9217,32.4699,252.4699
1221.348,243.8933,32.6404,252.6404
1227.922,243.8604,32.8377,252.8377
1357.044,243.2148,36.7113,256.7113
1271.368,243.6432,34.141,254.141
1314.103,243.4295,35.4231,255.4231
1374.549,243.1273,37.2365,257.2365
1378.54,243.1073,37.3562,257.3562
1339.86,243.3007,36.1958,256.1958
1232.625,243.8369,32.9787,252.9787
1254.117,243.7294,33.6235,253.6235
1392.769,243.0362,37.7831,257.7831
1267.668,243.6617,34.03,254.03
1394.028,243.0299,37.8208,257.8208
1252.513,243.7374,33.5754,253.5754
1272.059,243.6397,34.1618,254.1618
1340.176,243.2991,36.2053,256.2053
1326.241,243.3688,35.7872,255.7872
1290.738,243.5463,34.7221,254.7221
1329.712,243.3514,35.8914,255.8914
1329.547,243.3523,35.8864,255.8864
1295.613,243.5219,34.8684,254.8684
1236.124,243.8194,33.0837,253.0837
1227.152,243.8642,32.8146,252.8146
1325.204,243.374,35.7561,255.7561
1399.977,243.0001,37.9993,257.9993
1260.306,243.6985,33.8092,253.8092
1267.212,243.6639,34.0164,254.0164
1285.421,243.5729,34.5626,254.5626
1352.894,243.2355,36.5868,256.5868
1235.415,243.8229,33.0624,253.0625
1300.487,243.4976,35.0146,255.0146
1308.266,243.4587,35.248,255.248
1298.15,243.5093,34.9445,254.9445
1206.657,243.9667,32.1997,252.1997
1263.11,243.6844,33.8933,253.8933
1290.373,243.5481,34.7112,254.7112
1317.29,243.4135,35.5187,255.5187
1387.082,243.0646,37.6125,257.6125
1205.715,243.9714,32.1714,252.1714
1359.129,243.2044,36.7739,256.7739
1278.459,243.6077,34.3538,254.3538
1368.14,243.1593,37.0442,257.0442
1373.574,243.1321,37.2072,257.2072
1297.921,243.5104,34.9376,254.9376
1312.9,243.4355,35.387,255.387
1205.013,243.9749,32.1504,252.1504
1334.497,243.3275,36.0349,256.0349
1284.531,243.5773,34.5359,254.5359
1295.784,243.5211,34.8735,254.8735
1259.371,243.7031,33.7811,253.7811
1381.603,243.092,37.4481,257.4481
1247.966,243.7602,33.439,253.439
1231.443,243.8428,32.9433,252.9433
1382.691,243.0865,37.4807,257.4807
1367.451,243.1627,37.0235,257.0235
1350.942,243.2453,36.5283,256.5283
1381.379,243.0931,37.4414,257.4414
1299.905,243.5005,34.9971,254.9972
1365.649,243.1718,36.9695,256.9695
1228.818,243.8559,32.8645,252.8645
1256.497,243.7175,33.6949,253.6949
1296.321,243.5184,34.8896,254.8896
1286.109,243.5695,34.5833,254.5833
1358.894,243.2055,36.7668,256.7668
1388.539,243.0573,37.6562,257.6562
1260.813,243.6959,33.8244,253.8244
1257.978,243.7101,33.7393,253.7393
1288.753,243.5562,34.6626,254.6626
1201.36,243.9932,32.0408,252.0408
1379.358,243.1032,37.3807,257.3807
1293.109,243.5345,34.7933,254.7933
1392.565,243.0372,37.7769,257.7769
1361.461,243.1927,36.8438,256.8438
1217.064,243.9147,32.5119,252.5119
1387.179,243.0641,37.6154,257.6154
1395.023,243.0249,37.8507,257.8507
1204.231,243.9788,32.1269,252.1269
1373.667,243.1317,37.21,257.21
1213.799,243.931,32.414,252.414
1276.332,243.6183,34.29,254.29
1255.923,243.7204,33.6777,253.6777
1265.555,243.6722,33.9667,253.9667
1305.454,243.4727,35.1636,255.1636
1367.279,243.1636,37.0184,257.0184
1274.221,243.6289,34.2266,254.2266
1367.325,243.1634,37.0198,257.0197
1384.965,243.0752,37.5489,257.5489
1213.303,243.9335,32.3991,252.3991
1226.281,243.8686,32.7884,252.7884
1273.621,243.6319,34.2086,254.2086
1327.52,243.3624,35.8256,255.8256
1259.21,243.7039,33.7763,253.7763
1284.192,243.579,34.5258,254.5258
1230.15,243.8493,32.9045,252.9045
1390.998,243.045,37.7299,257.7299
1306.288,243.4686,35.1886,255.1886
1221.002,243.895,32.6301,252.6301
1279.957,243.6002,34.3987,254.3987
1316.01,243.42,35.4803,255.4803
1217.741,243.9113,32.5322,252.5322
1381.908,243.0905,37.4572,257.4572
1365.174,243.1741,36.9552,256.9552
1307.918,243.4604,35.2375,255.2375
1280.419,243.5979,34.4126,254.4126
1374.398,243.128,37.2319,257.2319
1361.308,243.1935,36.8392,256.8392
1326.576,243.3671,35.7973,255.7973
1377.221,243.1139,37.3166,257.3166
1330.181,243.3491,35.9054,255.9054
1375.231,243.1238,37.2569,257.2569
1253.079,243.7346,33.5924,253.5924
1299.318,243.5034,34.9795,254.9795
1318.329,243.4084,35.5499,255.5499
1224.263,243.8787,32.7279,252.7279
1389.234,243.0538,37.677,257.677
1245.874,243.7706,33.3762,253.3762
1325.163,243.3742,35.7549,255.7549
1214.132,243.9293,32.424,252.424
1264.397,243.678,33.9319,253.9319
1372.893,243.1355,37.1868,257.1868
1252.767,243.7362,33.583,253.583
1355.389,243.2231,36.6617,256.6617
1376.634,243.1168,37.299,257.299
1211.729,243.9414,32.3519,252.3519
1275.679,243.6216,34.2704,254.2704
1369.114,243.1544,37.0734,257.0734
1367.076,243.1646,37.0123,257.0123
1364.705,243.1765,36.9411,256.9411
1262.882,243.6856,33.8865,253.8865
1265.375,243.6731,33.9612,253.9613
1213.007,243.935,32.3902,252.3902
1399.427,243.0029,37.9828,257.9828
1279.819,243.6009,34.3946,254.3946
1346.205,243.269,36.3861,256.3861
1346.9,243.2655,36.407,256.407
1201.334,243.9933,32.04,252.04
1288.398,243.558,34.6519,254.6519
1395.251,243.0237,37.8575,257.8575
1216.66,243.9167,32.4998,252.4998
1289.19,243.554,34.6757,254.6757
1247.814,243.7609,33.4344,253.4344
1203.717,243.9814,32.1115,252.1115
1316.389,243.4181,35.4917,255.4917
1347.628,243.2619,36.4288,256.4288
1237.246,243.8138,33.1174,253.1174
1278.879,243.6056,34.3664,254.3664
1370.218,243.1489,37.1065,257.1065
1324.004,243.38,35.7201,255.7201
1365.147,243.1743,36.9544,256.9544
1321.131,243.3943,35.6339,255.6339
1328.997,243.355,35.8699,255.8699
1225.406,243.873,32.7622,252.7622
1258.205,243.709,33.7461,253.7462
1385.472,243.0726,37.5642,257.5642
1259.855,243.7007,33.7957,253.7956
1225.849,243.8708,32.7755,252.7755
1362.888,243.1856,36.8866,256.8866
1323.038,243.3848,35.6911,255.6911
1267.425,243.6629,34.0227,254.0228
1250.899,243.7455,33.527,253.527
1338.649,243.3068,36.1595,256.1595
1220.057,243.8997,32.6017,252.6017
1227.819,243.8609,32.8346,252.8346
1254.63,243.7269,33.6389,253.6389
1397.684,243.0116,37.9305,257.9305
1270.435,243.6478,34.113,254.113
1302.441,243.4878,35.0732,255.0732
1236.807,243.816,33.1042,253.1042
1230.98,243.8451,32.9294,252.9294
1280.511,243.5974,34.4153,254.4153
1311.065,243.4447,35.3319,255.332
1390.534,243.0473,37.716,257.716
1349.325,243.2534,36.4798,256.4798
1368.048,243.1598,37.0414,257.0414
1294.748,243.5263,34.8424,254.8424
1273.256,243.6337,34.1977,254.1977
1215.475,243.9226,32.4642,252.4642
1231.628,243.8419,32.9488,252.9488
1386.146,243.0693,37.5844,257.5844
1371.151,243.1442,37.1345,257.1345
1266.463,243.6677,33.9939,253.9939
1243.99,243.78,33.3197,253.3197
1270.077,243.6496,34.1023,254.1023
1300.128,243.4994,35.0038,255.0038
1382.574,243.0871,37.4772,257.4772
1387.688,243.0616,37.6306,257.6306
1507.893,242.4605,41.2368,261.2368
1587.894,242.0605,43.6368,263.6368
1528.381,242.3581,41.8514,261.8514
1427.368,242.8632,38.821,258.821
1528.052,242.3597,41.8416,261.8416
1414.925,242.9254,38.4477,258.4477
1434.361,242.8282,39.0308,259.0308
1551.411,242.2429,42.5423,262.5423
1452.353,242.7382,39.5706,259.5706
1414.476,242.9276,38.4343,258.4343
1507.015,242.4649,41.2105,261.2104
1552.783,242.2361,42.5835,262.5835
1455.033,242.7248,39.651,259.651
1462.701,242.6865,39.881,259.881
1456.737,242.7163,39.7021,259.7021
1567.667,242.1617,43.03,263.03
1540.721,242.2964,42.2216,262.2216
1488.198,242.559,40.6459,260.6459
1552.789,242.2361,42.5837,262.5837
1416.789,242.9161,38.5037,258.5037
1470.17,242.6491,40.1051,260.1051
1403.196,242.984,38.0959,258.0959
1518.909,242.4055,41.5673,261.5673
1556.506,242.2175,42.6952,262.6952
1468.899,242.6555,40.067,260.067
1551.234,242.2438,42.537,262.537
1433.511,242.8324,39.0053,259.0053
1446.02,242.7699,39.3806,259.3806
1566.692,242.1665,43.0008,263.0008
1575.535,242.1223,43.266,263.2661
1436.953,242.8152,39.1086,259.1086
1516.872,242.4156,41.5062,261.5062
1410.196,242.949,38.3059,258.3059
1588.423,242.0579,43.6527,263.6527
1540.392,242.298,42.2118,262.2118
1540.319,242.2984,42.2096,262.2096
1468.039,242.6598,40.0412,260.0412
1492.178,242.5391,40.7653,260.7653
1406.368,242.9682,38.191,258.191
1444.72,242.7764,39.3416,259.3416
1433.287,242.8336,38.9986,258.9986
1569.786,242.1511,43.0936,263.0936
1406.908,242.9655,38.2072,258.2072
1453.466,242.7327,39.604,259.604
1558.479,242.2076,42.7544,262.7544
1472.27,242.6387,40.1681,260.1681
1513.048,242.4348,41.3914,261.3914
1507.953,242.4602,41.2386,261.2386
1414.517,242.9274,38.4355,258.4355
1449.144,242.7543,39.4743,259.4743
1593.906,242.0305,43.8172,263.8172
1482.869,242.5857,40.4861,260.4861
1593.517,242.0324,43.8055,263.8055
1481.322,242.5934,40.4397,260.4397
1488.441,242.5578,40.6532,260.6532
1463.022,242.6849,39.8907,259.8907
1540.933,242.2953,42.228,262.228
1476.931,242.6153,40.3079,260.3079
1576.723,242.1164,43.3017,263.3017
1459.598,242.702,39.7879,259.7879
1586.578,242.0671,43.5973,263.5973
1520.337,242.3983,41.6101,261.6101
1402.812,242.9859,38.0844,258.0844
1561.991,242.19,42.8597,262.8597
1573.47,242.1327,43.2041,263.2041
1473.349,242.6333,40.2005,260.2005
1581.84,242.0908,43.4552,263.4552
1420.305,242.8985,38.6091,258.6091
1481.142,242.5943,40.4343,260.4343
1447.829,242.7609,39.4349,259.4349
1498.908,242.5055,40.9672,260.9672
1568.119,242.1594,43.0436,263.0436
1455.269,242.7237,39.6581,259.6581
1442.766,242.7862,39.283,259.283
1471.95,242.6403,40.1585,260.1585
1438.603,242.807,39.1581,259.1581
1598.407,242.008,43.9522,263.9522
1525.488,242.3726,41.7646,261.7646
1423.625,242.8819,38.7087,258.7088
1533.153,242.3342,41.9946,261.9946
1556.557,242.2172,42.6967,262.6967
1410.321,242.9484,38.3096,258.3096
1432.423,242.8379,38.9727,258.9727
1588.512,242.0574,43.6554,263.6554
1497.534,242.5123,40.926,260.926
1415.586,242.9221,38.4676,258.4676
1414.622,242.9269,38.4387,258.4387
1501.942,242.4903,41.0583,261.0583
1523.151,242.3842,41.6945,261.6945
1544.817,242.2759,42.3445,262.3445
1551.272,242.2436,42.5382,262.5382
1424.413,242.8779,38.7324,258.7324
1523.973,242.3801,41.7192,261.7192
1504.421,242.4779,41.1326,261.1326
1523.005,242.385,41.6902,261.6902
1478.315,242.6084,40.3494,260.3494
1474.827,242.6259,40.2448,260.2448
1489.595,242.552,40.6878,260.6879
1449.722,242.7514,39.4917,259.4917
1408.907,242.9555,38.2672,258.2672
1575.627,242.1219,43.2688,263.2688
1585.73,242.0713,43.5719,263.5719
1457.056,242.7147,39.7117,259.7117
1462.344,242.6883,39.8703,259.8703
1501.185,242.4941,41.0355,261.0356
1419.96,242.9002,38.5988,258.5988
1472.929,242.6354,40.1879,260.1879
1427.344,242.8633,38.8203,258.8203
1436.853,242.8157,39.1056,259.1056
1486.972,242.5651,40.6092,260.6092
1538.449,242.3078,42.1535,262.1535
1454.511,242.7274,39.6353,259.6353
1434.18,242.8291,39.0254,259.0254
1599.975,242.0001,43.9992,263.9993
1466.102,242.6695,39.9831,259.9831
1535.474,242.3226,42.0642,262.0642
1496.464,242.5177,40.8939,260.8939
1455.511,242.7224,39.6653,259.6653
1571.39,242.143,43.1417,263.1417
1466.328,242.6684,39.9898,259.9898
1558.255,242.2087,42.7477,262.7477
1509.144,242.4543,41.2743,261.2743
1457.676,242.7116,39.7303,259.7303
1495.835,242.5208,40.8751,260.875
1515.689,242.4216,41.4707,261.4707
1426.118,242.8694,38.7835,258.7835
1493.505,242.5325,40.8052,260.8052
1472.983,242.6351,40.1895,260.1895
1405.195,242.974,38.1558,258.1558
1582.711,242.0864,43.4813,263.4813
1461.324,242.6934,39.8397,259.8397
1532.175,242.3391,41.9652,261.9652
1575.484,242.1226,43.2645,263.2645
1542.251,242.2887,42.2675,262.2675
1573.996,242.13,43.2199,263.2199
1454.766,242.7262,39.643,259.643
1498.838,242.5058,40.9651,260.9651
1450.443,242.7478,39.5133,259.5133
1448.117,242.7594,39.4435,259.4435
1570.161,242.1492,43.1048,263.1048
1482.888,242.5856,40.4866,260.4866
1595.029,242.0249,43.8509,263.8509
1447.831,242.7608,39.4349,259.4349
1571.714,242.1414,43.1514,263.1514
1445.716,242.7714,39.3715,259.3715
1456.338,242.7183,39.6901,259.6901
1535.276,242.3236,42.0583,262.0583
1489.341,242.5533,40.6802,260.6802
1451.193,242.744,39.5358,259.5358
1437.157,242.8142,39.1147,259.1147
1548.848,242.2558,42.4654,262.4654
1408.897,242.9555,38.2669,258.2669
1491.785,242.5411,40.7536,260.7536
1459.184,242.7041,39.7755,259.7755
1492.092,242.5395,40.7628,260.7628
1569.212,242.1539,43.0764,263.0764
1556.387,242.2181,42.6916,262.6916
1484.987,242.5751,40.5496,260.5496
1590.493,242.0475,43.7148,263.7148
1407.873,242.9606,38.2362,258.2362
1597.633,242.0118,43.929,263.929
1553.139,242.2343,42.5942,262.5942
1442.876,242.7856,39.2863,259.2863
1445.21,242.774,39.3563,259.3563
1413.754,242.9312,38.4126,258.4126
1468.63,242.6568,40.0589,260.0589
1500.824,242.4959,41.0247,261.0247
1451.601,242.742,39.548,259.548
1596.233,242.0188,43.887,263.887
1445.285,242.7736,39.3586,259.3585
1582.044,242.0898,43.4613,263.4613
1460.301,242.6985,39.809,259.809
1466.329,242.6684,39.9899,259.9899
1435.538,242.8223,39.0661,259.0661
1474.735,242.6263,40.242,260.2421
1544.869,242.2757,42.3461,262.3461
1492.514,242.5374,40.7754,260.7754
1473.017,242.6349,40.1905,260.1905
1430.201,242.849,38.906,258.906
1593.207,242.034,43.7962,263.7962
1539.125,242.3044,42.1737,262.1737
1498.711,242.5064,40.9613,260.9613
1433.795,242.831,39.0138,259.0138
1453.349,242.7333,39.6005,259.6005
1422.866,242.8857,38.686,258.686
1511.213,242.4439,41.3364,261.3364
1467.119,242.6644,40.0136,260.0136
1589.57,242.0522,43.6871,263.6871
1575.496,242.1225,43.2649,263.2649
1508.835,242.4558,41.2651,261.265
1476.864,242.6157,40.3059,260.3059
1575.313,242.1234,43.2594,263.2594
1442.397,242.788,39.2719,259.2719
1491.541,242.5423,40.7462,260.7462
1446.42,242.7679,39.3926,259.3926
1574.306,242.1285,43.2292,263.2292
1539.678,242.3016,42.1903,262.1903
1442.2,242.789,39.266,259.266
1588.02,242.0599,43.6406,263.6406
1504.097,242.4795,41.1229,261.1229
1402.258,242.9887,38.0677,258.0677
1456.789,242.7161,39.7037,259.7037
1414.903,242.9255,38.4471,258.4471
1501.006,242.495,41.0302,261.0302
1570.107,242.1495,43.1032,263.1032
1593.241,242.0338,43.7972,263.7972
1403.483,242.9826,38.1045,258.1045
1591.622,242.0419,43.7487,263.7487
1513.787,242.4311,41.4136,261.4136
